Id_Restaurante,latitud,longitud
1,40.4346398,-3.6683275
2,40.4743506,-3.5787554
3,40.415528,-3.7017525
4,40.4232911,-3.703706
5,40.4941925,-3.687351
6,40.3803835,-3.6558993
7,40.413673,-3.6994414
8,40.4100054,-3.6969032
9,40.4151014,-3.7019298
10,40.4682967,-3.8707093
11,40.4276705,-3.6699464
12,40.4124057,-3.6970554
13,40.4178642,-3.7080699
14,40.4127254,-3.7096299
15,40.4265449,-3.6987863
16,40.4184363,-3.7052309
17,40.42487,-3.7008499
18,40.4095834,-3.6937561
19,40.4246347,-3.6964968
20,40.4094601,-3.6933254
21,40.4194856,-3.7040631
22,40.4158879,-3.7066396
23,40.4682967,-3.8707093
24,40.4157857,-3.7030024
25,40.4682967,-3.8707093
26,40.4734439,-3.8722742
27,40.4302985,-3.7007009
28,40.4220423,-3.7096873
29,40.4337774,-3.6747828
30,40.4251144,-3.7007363
31,40.4198086,-3.7072623
32,40.4243427,-3.6790764
33,40.4204301,-3.712532
34,40.4264203,-3.6681965
35,40.4302985,-3.7007009
36,40.5052468,-3.675897
37,40.4162893,-3.7091977
38,40.4485593,-3.6953468
39,40.4183439,-3.6743147
40,40.4246365,-3.6963848
41,40.4117567,-3.6954293
42,40.4124721,-3.6954412
43,40.4207841,-3.7021303
44,40.4145645,-3.7067471
45,40.4012101,-3.7176244
46,40.8054973,-3.7697049
47,40.4234748,-3.6993507
48,40.4792971,-3.6898623
49,40.4131256,-3.710878
50,40.5952964,-4.1423878
51,40.4265674,-3.7163351
52,40.3985887,-3.7595707
53,40.3293733,-3.8554613
54,40.4210995,-3.7041013
55,40.4214591,-3.6835822
56,40.42,-3.705
57,40.4157405,-3.7017617
58,40.4110723,-3.7066866
59,40.4218831,-3.7009642
60,40.4120408,-3.710051
61,40.4132903,-3.6965712
62,40.445438,-3.6956183
63,40.463683,-3.6881311
64,40.412702,-3.6992329
65,40.4460488,-3.6995504
66,40.4157137,-3.6991222
67,40.4157405,-3.7017617
68,40.4202508,-3.6754873
69,40.3898034,-3.6608316
70,40.4577954,-3.6859491
71,40.4268255,-3.7014108
72,40.495,-3.66
73,40.4164803,-3.7077567
74,40.4145549,-3.6997005
75,40.4241368,-3.6974675
76,40.4125003,-3.7124762
77,40.4213047,-3.7028788
78,40.4162628,-3.7004882
79,40.3066217,-3.8689324
80,40.3563461,-3.7354437
81,40.4227387,-3.6955593
82,40.4501693,-3.6918735
83,40.3900851,-3.7611805
84,40.4100159,-3.6961399
85,40.4203519,-3.7003729
86,40.4123107,-3.7094524
87,40.4132366,-3.7083394
88,40.4207517,-3.678872
89,40.417367,-3.7072936
90,40.4210947,-3.6974379
91,40.4734902,-3.8724393
92,40.4345527,-3.7154502
93,40.4110877,-3.6943434
94,40.5116026,-3.6792318
95,40.4337811,-3.6989949
96,38.5455068,-0.1349665
97,40.4189909,-3.7085092
98,40.4271691,-3.6924356
99,40.416551,-3.707066
100,40.4181855,-3.68983
101,40.4432006,-3.6690546
102,40.4148992,-3.7095163
103,40.4480719,-3.6743241
104,40.4299794,-3.6771776
105,40.5902398,-4.1570715
106,40.4218994,-3.690302
107,40.4210523,-3.689841
108,40.4383364,-3.7140554
109,40.4107356,-3.699563
110,40.4356467,-3.6897971
111,40.4254378,-3.7164623
112,40.4221735,-3.7097663
113,40.43121,-3.6775738
114,40.422089,-3.6968194
115,40.41412,-3.700962
116,40.46017,-3.6762096
117,40.4116807,-3.703075
118,40.4213704,-3.7061958
119,40.4637282,-3.7229619
120,40.3972995,-3.7441719
121,40.4265808,-3.7098251
122,40.4854916,-3.3430836
123,40.4220739,-3.7076794
124,40.4097575,-3.6964233
125,40.4160616,-3.7115577
126,40.4017229,-3.8984764
127,40.4933614,-3.6563007
128,40.4306865,-3.6905135
129,40.415035,-3.712048
130,40.4301637,-3.687507
131,40.420327,-3.6766552
132,40.4126583,-3.7141978
133,40.3091837,-3.7366983
134,40.413,-3.709
135,41.005585,-3.671553
136,40.4381594,-3.7152026
137,40.419255,-3.6972007
138,40.4050029,-3.6987357
139,40.4676644,-3.6812253
140,40.4214803,-3.7092656
141,40.4176166,-3.6980642
142,40.4151498,-3.6996264
143,40.4570066,-3.6483982
144,40.4217288,-3.6879591
145,40.4106352,-3.706014
146,40.5466514,-3.6333454
147,40.3426926,-3.8252799
148,40.4238093,-3.7090998
149,40.415904,-3.6990757
150,40.4147985,-3.6995295
151,40.4363042,-3.6844844
152,40.449827,-3.7013999
153,40.4211706,-3.7082023
154,40.4253932,-3.7138709
155,40.6250761,-4.0088561
156,40.4218994,-3.690302
157,40.4204506,-3.6994244
158,40.415819,-3.7025536
159,40.4568559,-3.6907533
160,40.4493265,-3.5712382
161,40.2993654,-4.1116497
162,40.4309886,-3.7192957
163,40.4101444,-3.6989426
164,40.4194531,-3.6990703
165,40.4481197,-3.6756709
166,40.414318,-3.706661
167,40.410691,-3.694793
168,40.448442,-3.67043
169,40.425744,-3.703271
170,40.417,-3.699
171,40.428,-3.688
172,40.415371,-3.698901
173,40.415,-3.701
174,40.41,-3.702
175,40.436813,-3.677129
176,40.42,-3.695
177,40.411462,-3.69557
178,40.42834,-3.699803
179,40.337908,-4.077316
180,40.425,-3.69
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,,
494,,
495,,
496,,
497,,
498,,
499,,
500,,
501,,
502,,
503,,
504,,
505,,
506,,
507,,
508,,
509,,
510,,
511,,
512,,
513,,
514,,
515,,
516,,
517,,
518,,
519,,
520,,
521,,
522,,
523,,
524,,
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,,
533,,
534,,
535,,
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,,
545,,
546,,
547,,
548,,
549,,
550,,
551,,
552,,
553,,
554,,
555,,
556,,
557,,
558,,
559,,
560,,
561,,
562,,
563,,
564,,
565,,
566,,
567,,
568,,
569,,
570,,
571,,
572,,
573,,
574,,
575,,
576,,
577,,
578,,
579,,
580,,
581,,
582,,
583,,
584,,
585,,
586,,
587,,
588,,
589,,
590,,
591,,
592,,
593,,
594,,
595,,
596,,
597,,
598,,
599,,
600,,
601,,
602,,
603,,
604,,
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,,
616,,
617,,
618,,
619,,
620,,
621,,
622,,
623,,
624,,
625,,
626,,
627,,
628,,
629,,
630,,
631,,
632,,
633,,
634,,
635,,
636,,
637,,
638,,
639,,
640,,
641,,
642,,
643,,
644,,
645,,
646,,
647,,
648,,
649,,
650,,
651,,
652,,
653,,
654,,
655,,
656,,
657,,
658,,
659,,
660,,
661,,
662,,
663,,
664,,
665,,
666,,
667,,
668,,
669,,
670,,
671,,
672,,
673,,
674,,
675,,
676,,
677,,
678,,
679,,
680,,
681,,
682,,
683,,
684,,
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,
703,,
704,,
705,,
706,,
707,,
708,,
709,,
710,,
711,,
712,,
713,,
714,,
715,,
716,,
717,,
718,,
719,,
720,,
721,,
722,,
723,,
724,,
725,,
726,,
727,,
728,,
729,,
730,,
731,,
732,,
733,,
734,,
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,,
744,,
745,,
746,,
747,,
748,,
749,,
750,,
751,,
752,,
753,,
754,,
755,,
756,,
757,,
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,,
781,,
782,,
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
825,,
826,,
827,,
828,,
829,,
830,,
831,,
832,,
833,,
